
           0       2.276
         0.2       2.129
         0.4     2.56937
         0.6     1.14687
         0.8     2.29418
           1     2.53505
         1.2     1.91268
         1.4     2.67455
         1.6     2.68283
         1.8     2.16749
           2     2.15144
         2.2      2.2711
         2.4     2.33828
         2.6      2.7755
         2.8     2.21395
           3     2.79603
         3.2     3.49398
         3.4     2.65057
         3.6     2.55049
         3.8     3.31166
           4     3.18586
         4.2     2.84738
         4.4     3.90335
         4.6     3.60586
         4.8     3.50805
           5      3.6868
         5.2     3.01454
         5.4     3.82628
         5.6     3.44404
         5.8     3.74273
           6     3.88634
         6.2     3.08291
         6.4     3.64167
         6.6     4.14113
         6.8     4.47982
           7      3.8021
         7.2         4.2
         7.4     4.09599
         7.6     4.65346
         7.8     4.43595
           8      4.2516
         8.2     3.99054
         8.4     5.02256
         8.6      4.4049
         8.8     4.99631
           9     4.64609
         9.2     4.85442
         9.4     4.96799
         9.6     4.33568
         9.8      5.1694
          10     5.41979
        10.2     5.68367
        10.4      5.0188
        10.6     5.55594
        10.8     5.14994
          11     5.02917
        11.2     5.46712
        11.4     5.63074
        11.6     5.49316
        11.8     5.96326
          12     5.74497
        12.2     5.29189
        12.4     4.82135
        12.6     6.20097
        12.8     5.90291
          13     5.48723
        13.2      5.4449
        13.4      5.9355
        13.6     5.72351
        13.8     5.64222
          14     6.17985
        14.2     5.65432
        14.4     6.55349
        14.6     6.98136
        14.8     7.04003
          15     6.46355
        15.2     6.84873
        15.4     6.07519
        15.6     6.41258
        15.8     6.87723
          16      6.6993
        16.2     6.67071
        16.4      7.2143
        16.6     7.46031
        16.8     7.03528
          17     6.63785
        17.2     7.33183
        17.4     7.37408
        17.6     7.05386
        17.8     7.31591
          18     7.34366
        18.2      7.8577
        18.4     7.53528
        18.6     7.36348
        18.8     7.92342
          19     8.21819
        19.2     6.95431
        19.4     8.36058
        19.6      7.4211
        19.8     8.10136
