
size: 120

used: 120

  diametro:        49.98
    colore:            b

  diametro:        89.94
    colore:            r

  diametro:        70.03
    colore:            g

  diametro:        90.12
    colore:            r

  diametro:        49.93
    colore:            b

  diametro:        49.99
    colore:            b

  diametro:        70.07
    colore:            g

  diametro:        89.92
    colore:            r

  diametro:        90.15
    colore:            r

  diametro:        90.13
    colore:            r

  diametro:        49.93
    colore:            b

  diametro:        70.02
    colore:            g

  diametro:        49.99
    colore:            b

  diametro:        49.91
    colore:            b

  diametro:        49.99
    colore:            b

  diametro:        70.03
    colore:            g

  diametro:        69.93
    colore:            g

  diametro:        50.01
    colore:            b

  diametro:        89.91
    colore:            r

  diametro:        49.96
    colore:            b

  diametro:        70.02
    colore:            g

  diametro:        89.93
    colore:            r

  diametro:        69.99
    colore:            g

  diametro:        49.96
    colore:            b

  diametro:        49.97
    colore:            b

  diametro:        50.04
    colore:            b

  diametro:        49.97
    colore:            b

  diametro:        69.89
    colore:            g

  diametro:        69.98
    colore:            g

  diametro:        49.96
    colore:            b

  diametro:        89.91
    colore:            r

  diametro:        49.99
    colore:            b

  diametro:        90.01
    colore:            r

  diametro:        49.94
    colore:            b

  diametro:        49.86
    colore:            b

  diametro:        70.05
    colore:            g

  diametro:        49.99
    colore:            b

  diametro:        50.04
    colore:            b

  diametro:        50.02
    colore:            b

  diametro:           90
    colore:            r

  diametro:        49.94
    colore:            b

  diametro:        69.97
    colore:            g

  diametro:        49.97
    colore:            b

  diametro:        89.86
    colore:            r

  diametro:        50.06
    colore:            b

  diametro:         89.9
    colore:            r

  diametro:        89.93
    colore:            r

  diametro:        70.04
    colore:            g

  diametro:        70.06
    colore:            g

  diametro:        70.06
    colore:            g

  diametro:        69.97
    colore:            g

  diametro:        69.99
    colore:            g

  diametro:        50.09
    colore:            b

  diametro:        50.08
    colore:            b

  diametro:        90.02
    colore:            r

  diametro:         50.1
    colore:            b

  diametro:        50.04
    colore:            b

  diametro:        70.04
    colore:            g

  diametro:        69.97
    colore:            g

  diametro:        49.89
    colore:            b

  diametro:        89.95
    colore:            r

  diametro:        70.04
    colore:            g

  diametro:        89.94
    colore:            r

  diametro:        70.03
    colore:            g

  diametro:        90.09
    colore:            r

  diametro:           50
    colore:            b

  diametro:        50.03
    colore:            b

  diametro:        70.01
    colore:            g

  diametro:        69.91
    colore:            g

  diametro:        50.08
    colore:            b

  diametro:        90.15
    colore:            r

  diametro:        89.94
    colore:            r

  diametro:        49.92
    colore:            b

  diametro:        50.07
    colore:            b

  diametro:        50.04
    colore:            b

  diametro:        90.11
    colore:            r

  diametro:        50.04
    colore:            b

  diametro:        90.03
    colore:            r

  diametro:        90.09
    colore:            r

  diametro:        50.07
    colore:            b

  diametro:        70.07
    colore:            g

  diametro:        69.97
    colore:            g

  diametro:           70
    colore:            g

  diametro:        70.12
    colore:            g

  diametro:        89.93
    colore:            r

  diametro:        50.03
    colore:            b

  diametro:        50.17
    colore:            b

  diametro:        69.96
    colore:            g

  diametro:        49.88
    colore:            b

  diametro:           50
    colore:            b

  diametro:        90.05
    colore:            r

  diametro:        89.87
    colore:            r

  diametro:         70.1
    colore:            g

  diametro:        69.93
    colore:            g

  diametro:        90.04
    colore:            r

  diametro:        69.99
    colore:            g

  diametro:        49.99
    colore:            b

  diametro:           50
    colore:            b

  diametro:        69.99
    colore:            g

  diametro:        49.89
    colore:            b

  diametro:        69.94
    colore:            g

  diametro:         49.9
    colore:            b

  diametro:        90.03
    colore:            r

  diametro:        49.94
    colore:            b

  diametro:        49.96
    colore:            b

  diametro:        50.11
    colore:            b

  diametro:        69.92
    colore:            g

  diametro:        70.11
    colore:            g

  diametro:        90.06
    colore:            r

  diametro:        70.03
    colore:            g

  diametro:        69.95
    colore:            g

  diametro:        70.06
    colore:            g

  diametro:        50.06
    colore:            b

  diametro:        69.99
    colore:            g

  diametro:        70.02
    colore:            g

  diametro:        69.96
    colore:            g

  diametro:         50.1
    colore:            b

  diametro:        50.06
    colore:            b

  diametro:        90.04
    colore:            r

  diametro:        90.01
    colore:            r
